allow_cut,block_cut,warn_band_width,pct_allow_all,pct_warn_all,pct_block_all,attack_pct_allow,attack_pct_warn,attack_pct_block,benign_pct_allow,benign_pct_warn,benign_pct_block,attacks_allowed_n,benign_blocked_n
0.550000,0.850000,0.300000,0.365125,0.008750,0.626125,0.003281,0.005332,0.991386,0.523732,0.010248,0.466019,8,2592
0.550000,0.900000,0.350000,0.365125,0.008750,0.626125,0.003281,0.005332,0.991386,0.523732,0.010248,0.466019,8,2592
0.550000,0.950000,0.400000,0.365125,0.008750,0.626125,0.003281,0.005332,0.991386,0.523732,0.010248,0.466019,8,2592
0.600000,0.650000,0.050000,0.366625,0.002625,0.630750,0.006563,0.001231,0.992207,0.524452,0.003236,0.472312,16,2627
0.600000,0.700000,0.100000,0.366625,0.006625,0.626750,0.006563,0.001641,0.991797,0.524452,0.008810,0.466739,16,2596
0.600000,0.750000,0.150000,0.366625,0.006875,0.626500,0.006563,0.002051,0.991386,0.524452,0.008990,0.466559,16,2595
0.600000,0.800000,0.200000,0.366625,0.007000,0.626375,0.006563,0.002051,0.991386,0.524452,0.009169,0.466379,16,2594
0.600000,0.850000,0.250000,0.366625,0.007250,0.626125,0.006563,0.002051,0.991386,0.524452,0.009529,0.466019,16,2592
0.600000,0.900000,0.300000,0.366625,0.007250,0.626125,0.006563,0.002051,0.991386,0.524452,0.009529,0.466019,16,2592
0.600000,0.950000,0.350000,0.366625,0.007250,0.626125,0.006563,0.002051,0.991386,0.524452,0.009529,0.466019,16,2592
0.650000,0.700000,0.050000,0.369250,0.004000,0.626750,0.007793,0.000410,0.991797,0.527688,0.005574,0.466739,19,2596
0.650000,0.750000,0.100000,0.369250,0.004250,0.626500,0.007793,0.000820,0.991386,0.527688,0.005753,0.466559,19,2595
0.650000,0.800000,0.150000,0.369250,0.004375,0.626375,0.007793,0.000820,0.991386,0.527688,0.005933,0.466379,19,2594
0.650000,0.850000,0.200000,0.369250,0.004625,0.626125,0.007793,0.000820,0.991386,0.527688,0.006293,0.466019,19,2592
0.650000,0.900000,0.250000,0.369250,0.004625,0.626125,0.007793,0.000820,0.991386,0.527688,0.006293,0.466019,19,2592
0.650000,0.950000,0.300000,0.369250,0.004625,0.626125,0.007793,0.000820,0.991386,0.527688,0.006293,0.466019,19,2592
0.700000,0.750000,0.050000,0.373250,0.000250,0.626500,0.008203,0.000410,0.991386,0.533261,0.000180,0.466559,20,2595
0.700000,0.800000,0.100000,0.373250,0.000375,0.626375,0.008203,0.000410,0.991386,0.533261,0.000360,0.466379,20,2594
0.700000,0.850000,0.150000,0.373250,0.000625,0.626125,0.008203,0.000410,0.991386,0.533261,0.000719,0.466019,20,2592
0.700000,0.900000,0.200000,0.373250,0.000625,0.626125,0.008203,0.000410,0.991386,0.533261,0.000719,0.466019,20,2592
0.700000,0.950000,0.250000,0.373250,0.000625,0.626125,0.008203,0.000410,0.991386,0.533261,0.000719,0.466019,20,2592
