allow_cut,block_cut,warn_band_width,pct_allow_all,pct_warn_all,pct_block_all,attack_pct_allow,attack_pct_warn,attack_pct_block,benign_pct_allow,benign_pct_warn,benign_pct_block,attacks_allowed_n,benign_blocked_n
0.550000,0.850000,0.300000,0.145938,0.036860,0.817202,0.027457,0.034125,0.938419,0.261485,0.039529,0.698986,4435,115771
0.550000,0.900000,0.350000,0.145938,0.037521,0.816541,0.027457,0.035406,0.937137,0.261485,0.039583,0.698932,4435,115762
0.550000,0.950000,0.400000,0.145938,0.037591,0.816471,0.027457,0.035548,0.936995,0.261485,0.039583,0.698932,4435,115762
0.600000,0.650000,0.050000,0.150770,0.003943,0.845286,0.028757,0.001876,0.969367,0.269763,0.005959,0.724278,4645,119960
0.600000,0.700000,0.100000,0.150770,0.019893,0.829337,0.028757,0.016586,0.954657,0.269763,0.023118,0.707119,4645,117118
0.600000,0.750000,0.150000,0.150770,0.028601,0.820628,0.028757,0.027698,0.943545,0.269763,0.029482,0.700755,4645,116064
0.600000,0.800000,0.200000,0.150770,0.030695,0.818534,0.028757,0.030961,0.940282,0.269763,0.030436,0.699801,4645,115906
0.600000,0.850000,0.250000,0.150770,0.032028,0.817202,0.028757,0.032824,0.938419,0.269763,0.031251,0.698986,4645,115771
0.600000,0.900000,0.300000,0.150770,0.032688,0.816541,0.028757,0.034106,0.937137,0.269763,0.031305,0.698932,4645,115762
0.600000,0.950000,0.350000,0.150770,0.032758,0.816471,0.028757,0.034248,0.936995,0.269763,0.031305,0.698932,4645,115762
0.650000,0.700000,0.050000,0.154714,0.015950,0.829337,0.030633,0.014710,0.954657,0.275722,0.017159,0.707119,4948,117118
0.650000,0.750000,0.100000,0.154714,0.024658,0.820628,0.030633,0.025822,0.943545,0.275722,0.023523,0.700755,4948,116064
0.650000,0.800000,0.150000,0.154714,0.026752,0.818534,0.030633,0.029085,0.940282,0.275722,0.024477,0.699801,4948,115906
0.650000,0.850000,0.200000,0.154714,0.028085,0.817202,0.030633,0.030949,0.938419,0.275722,0.025292,0.698986,4948,115771
0.650000,0.900000,0.250000,0.154714,0.028745,0.816541,0.030633,0.032230,0.937137,0.275722,0.025346,0.698932,4948,115762
0.650000,0.950000,0.300000,0.154714,0.028815,0.816471,0.030633,0.032372,0.936995,0.275722,0.025346,0.698932,4948,115762
0.700000,0.750000,0.050000,0.170663,0.008708,0.820628,0.045343,0.011113,0.943545,0.292881,0.006364,0.700755,7324,116064
0.700000,0.800000,0.100000,0.170663,0.010802,0.818534,0.045343,0.014375,0.940282,0.292881,0.007318,0.699801,7324,115906
0.700000,0.850000,0.150000,0.170663,0.012135,0.817202,0.045343,0.016239,0.938419,0.292881,0.008133,0.698986,7324,115771
0.700000,0.900000,0.200000,0.170663,0.012795,0.816541,0.045343,0.017520,0.937137,0.292881,0.008187,0.698932,7324,115762
0.700000,0.950000,0.250000,0.170663,0.012866,0.816471,0.045343,0.017663,0.936995,0.292881,0.008187,0.698932,7324,115762
